,Open,High,Low,Close,Adj Close,Volume
2021-10-04 19:29,427.7521667480469,427.7521667480469,427.7521667480469,427.7521667480469,427.7521667480469,0
2021-10-04 19:28,427.765625,427.765625,427.765625,427.765625,427.765625,0
2021-10-04 19:27,427.6831359863281,427.6831359863281,427.6831359863281,427.6831359863281,427.6831359863281,196096
2021-10-04 19:26,427.86895751953125,427.86895751953125,427.86895751953125,427.86895751953125,427.86895751953125,0
2021-10-04 19:25,428.0486145019531,428.0486145019531,428.0486145019531,428.0486145019531,428.0486145019531,507136
2021-10-04 19:24,427.96453857421875,427.96453857421875,427.96453857421875,427.96453857421875,427.96453857421875,518016
2021-10-04 19:23,428.2054748535156,428.2054748535156,428.2054748535156,428.2054748535156,428.2054748535156,187520
2021-10-04 19:22,427.6849365234375,427.6849365234375,427.6849365234375,427.6849365234375,427.6849365234375,0
2021-10-04 19:21,428.2377014160156,428.2377014160156,428.2377014160156,428.2377014160156,428.2377014160156,1396992
2021-10-04 19:20,427.96856689453125,427.96856689453125,427.96856689453125,427.96856689453125,427.96856689453125,182912
2021-10-04 19:19,427.74554443359375,427.74554443359375,427.74554443359375,427.74554443359375,427.74554443359375,0
2021-10-04 19:18,427.5449523925781,427.5449523925781,427.5449523925781,427.5449523925781,427.5449523925781,0
2021-10-04 19:17,427.6432800292969,427.6432800292969,427.6432800292969,427.6432800292969,427.6432800292969,0
2021-10-04 19:16,427.7356262207031,427.7356262207031,427.7356262207031,427.7356262207031,427.7356262207031,0
2021-10-04 19:15,427.4625549316406,427.4625549316406,427.4625549316406,427.4625549316406,427.4625549316406,0
2021-10-04 19:14,427.38433837890625,427.38433837890625,427.38433837890625,427.38433837890625,427.38433837890625,0
2021-10-04 19:13,427.8443908691406,427.8443908691406,427.8443908691406,427.8443908691406,427.8443908691406,0
2021-10-04 19:12,427.59307861328125,427.59307861328125,427.59307861328125,427.59307861328125,427.59307861328125,0
2021-10-04 19:11,428.01873779296875,428.01873779296875,428.01873779296875,428.01873779296875,428.01873779296875,0
2021-10-04 19:10,427.9623107910156,427.9623107910156,427.9623107910156,427.9623107910156,427.9623107910156,0
2021-10-04 19:09,427.67626953125,427.67626953125,427.67626953125,427.67626953125,427.67626953125,0
2021-10-04 19:08,427.8465576171875,427.8465576171875,427.8465576171875,427.8465576171875,427.8465576171875,396288
2021-10-04 19:07,428.0470886230469,428.0470886230469,428.0470886230469,428.0470886230469,428.0470886230469,301952
2021-10-04 19:06,427.0500793457031,427.0500793457031,427.0500793457031,427.0500793457031,427.0500793457031,621824
2021-10-04 19:05,426.2135009765625,426.2135009765625,426.2135009765625,426.2135009765625,426.2135009765625,970240
2021-10-04 19:04,426.4844970703125,426.4844970703125,426.4844970703125,426.4844970703125,426.4844970703125,0
2021-10-04 19:03,426.9840393066406,426.9840393066406,426.9840393066406,426.9840393066406,426.9840393066406,0
2021-10-04 19:02,427.40496826171875,427.40496826171875,427.40496826171875,427.40496826171875,427.40496826171875,1341568
2021-10-04 19:01,426.7592468261719,426.7592468261719,426.7592468261719,426.7592468261719,426.7592468261719,1021568
2021-10-04 19:00,425.66754150390625,425.66754150390625,425.66754150390625,425.66754150390625,425.66754150390625,0
2021-10-04 18:59,425.78857421875,425.78857421875,425.78857421875,425.78857421875,425.78857421875,0
2021-10-04 18:58,425.82891845703125,425.82891845703125,425.82891845703125,425.82891845703125,425.82891845703125,364544
2021-10-04 18:57,426.0098876953125,426.0098876953125,426.0098876953125,426.0098876953125,426.0098876953125,412032
2021-10-04 18:56,425.94110107421875,425.94110107421875,425.94110107421875,425.94110107421875,425.94110107421875,0
2021-10-04 18:55,425.90533447265625,425.90533447265625,425.90533447265625,425.90533447265625,425.90533447265625,0
2021-10-04 18:54,425.6644592285156,425.6644592285156,425.6644592285156,425.6644592285156,425.6644592285156,0
2021-10-04 18:53,426.53466796875,426.53466796875,426.53466796875,426.53466796875,426.53466796875,0
2021-10-04 18:52,425.3734130859375,425.3734130859375,425.3734130859375,425.3734130859375,425.3734130859375,0
2021-10-04 18:51,425.45379638671875,425.45379638671875,425.45379638671875,425.45379638671875,425.45379638671875,0
2021-10-04 18:50,425.1700439453125,425.1700439453125,425.1700439453125,425.1700439453125,425.1700439453125,643072
2021-10-04 18:49,424.583251953125,424.583251953125,424.583251953125,424.583251953125,424.583251953125,0
